,battery_level,captive,code,id,location
48,25,False,,a04e528f-cc46-487c-9895-34aa072267ba,"{'latitude': 37.80798333333333, 'longitude': -122.26911999999999}"
49,94,False,,1aa9450e-5cf7-4039-8af7-297c557e5b2d,"{'latitude': 37.80533166666667, 'longitude': -122.26628166666666}"
50,46,False,,44abc0c3-81c9-4a6c-93dd-bb82e05e5034,"{'latitude': 37.80154, 'longitude': -122.27455166666665}"
51,58,False,,1d4fbd06-e013-4aa9-b286-58f907403ef9,"{'latitude': 37.80047166666667, 'longitude': -122.27195666666667}"
52,71,False,,3f618f79-42d7-4943-9144-434d0ee36e38,"{'latitude': 37.80708333333334, 'longitude': -122.26731166666666}"
53,60,False,,fc15de56-b225-4aee-9e91-44ce292aeed5,"{'latitude': 37.80068166666667, 'longitude': -122.26891333333333}"
54,94,False,,b6dd001d-336d-436a-aa10-4fea792b7984,"{'latitude': 37.800495, 'longitude': -122.26927166666668}"
55,83,False,,8fcec356-2d47-4813-93b0-fbd078015189,"{'latitude': 37.80206, 'longitude': -122.26673166666666}"
56,46,False,,0bca4001-bdb4-4a1c-9288-d0261f7a1b72,"{'latitude': 37.80035833333333, 'longitude': -122.26979833333334}"
57,80,False,,46d94b46-c718-45c2-97ab-5e4ce7a83405,"{'latitude': 37.80023166666667, 'longitude': -122.27127}"
58,99,False,,b21a9a62-ed70-417a-9e52-5edd08baf787,"{'latitude': 37.80204833333333, 'longitude': -122.26672333333333}"
59,60,False,,3ba8c6a2-c959-4f8e-a967-b43f570ad5a9,"{'latitude': 37.80046, 'longitude': -122.26924833333332}"
60,94,False,,7fd5fb58-8e0b-4585-a32f-0d1e3a08057c,"{'latitude': 37.80045, 'longitude': -122.26925666666666}"
61,98,False,,ed9d875f-b920-458a-b718-940a1d122502,"{'latitude': 37.800675, 'longitude': -122.26857}"
62,97,False,,f03c4898-8ec4-4002-8548-6eb8474d8fdd,"{'latitude': 37.80065166666667, 'longitude': -122.26861500000001}"
63,75,False,,bed1c214-be7f-49d3-97c8-c5186010f636,"{'latitude': 37.80117333333333, 'longitude': -122.27465}"
64,31,False,,21c5cca0-5e72-451c-bdcd-f7ab64fc6714,"{'latitude': 37.80663666666667, 'longitude': -122.27574166666666}"
65,54,False,,d190fb37-0513-4620-a507-1917951c0840,"{'latitude': 37.808661666666666, 'longitude': -122.27184333333335}"
66,61,False,,45dc3ef3-4cb1-46a1-ab86-bb26c3f1fcbe,"{'latitude': 37.80547, 'longitude': -122.27638166666665}"
67,61,False,,76396bb6-6178-4016-8313-441363c510ff,"{'latitude': 37.805476666666664, 'longitude': -122.27638166666665}"
68,100,False,,47d77214-43a8-4927-ba15-1e3ae96e2239,"{'latitude': 37.80867564029787, 'longitude': -122.27184634667101}"
69,38,False,,1a057170-6208-4480-8ab7-2bce413086fe,"{'latitude': 37.806846666666665, 'longitude': -122.27565833333334}"
70,97,False,,65af8e61-305b-4efa-be11-7bbed61844cb,"{'latitude': 37.801563333333334, 'longitude': -122.26690666666667}"
71,55,False,,6d7c5e8e-c2ee-461a-be03-14b1b35feda6,"{'latitude': 37.80661833333333, 'longitude': -122.26620499999999}"
72,35,False,,71f3b8cd-49e4-4eb4-accb-54ee0d854123,"{'latitude': 37.801219999999994, 'longitude': -122.26710499999999}"
73,54,False,,e132d528-c920-457f-af68-345f8cdcaf4c,"{'latitude': 37.805245, 'longitude': -122.27671833333333}"
74,59,False,,22c4168f-be29-4d3d-b377-acb5f25ecf45,"{'latitude': 37.80887666666667, 'longitude': -122.27191166666668}"
75,98,False,,2c53bdb7-3e50-419d-a39a-de1e62c364ce,"{'latitude': 37.80112, 'longitude': -122.26712833333335}"
76,51,False,,ef997509-7c72-4177-ad51-d0fc455c8107,"{'latitude': 37.80034666666666, 'longitude': -122.27372666666666}"
77,35,False,,9c676ed4-c306-4d12-a9fb-3076535530cd,"{'latitude': 37.809021666666666, 'longitude': -122.27129333333332}"
78,26,False,,a68e24f2-f046-4239-8351-2197704d70de,"{'latitude': 37.809036666666664, 'longitude': -122.27135500000001}"
79,37,False,,0c148c54-3ef1-4263-b256-2187eb34fa7a,"{'latitude': 37.80021333333333, 'longitude': -122.26854666666668}"
80,51,False,,c028475f-2b15-4276-b1ba-09da0ea87a5f,"{'latitude': 37.802265000000006, 'longitude': -122.26573166666667}"
81,98,False,,a05e19d5-c660-41b3-b4dc-0b1e81df33a1,"{'latitude': 37.800198333333334, 'longitude': -122.27398}"
82,59,False,,4c242ef2-3506-4ce3-b77b-874b91073ffa,"{'latitude': 37.80079333333333, 'longitude': -122.27507833333333}"
83,87,False,,070269ca-1c88-403c-bd40-2f3bc2ea107f,"{'latitude': 37.799724999999995, 'longitude': -122.27281166666668}"
84,33,False,,6be0b184-78b7-473b-8167-9ccabb28e71c,"{'latitude': 37.79958666666666, 'longitude': -122.270065}"
85,57,False,,6cbadd34-980c-4fb2-98b5-853bf1e373c3,"{'latitude': 37.80037, 'longitude': -122.26755499999999}"
86,36,False,,2ad44056-74bc-4eb3-a931-3285566c28c5,"{'latitude': 37.79952166666667, 'longitude': -122.270065}"
87,57,False,,87fab69c-acef-41b6-9741-a8bed899303e,"{'latitude': 37.80077333333334, 'longitude': -122.275475}"
88,57,False,,2fd864f4-f797-4ebe-b86e-163951ff7b84,"{'latitude': 37.79935833333333, 'longitude': -122.27153000000001}"
89,59,False,,de247b0d-8f0f-4b06-840e-ab47d88f2753,"{'latitude': 37.79932833333333, 'longitude': -122.27152333333333}"
90,57,False,,ec98949d-a700-4a3c-b730-0ca1b3952479,"{'latitude': 37.799323333333334, 'longitude': -122.27156833333332}"
91,58,False,,9032f315-9a28-4299-8efc-84541ca5dc1d,"{'latitude': 37.799323333333334, 'longitude': -122.27181999999999}"
92,27,False,,24f2e4c4-0cd1-4ab6-9407-bad61d3c55f9,"{'latitude': 37.79936166666666, 'longitude': -122.26969166666667}"
93,40,False,,bffcd265-d78f-445b-ba2c-f105a0c2287f,"{'latitude': 37.80271166666667, 'longitude': -122.26488499999999}"
94,29,False,,9ad76c58-4408-4054-b6e8-0c6d5d186664,"{'latitude': 37.808483333333335, 'longitude': -122.26687666666666}"
95,77,False,,8f47954e-c75b-4735-8469-9cd6d0a50517,"{'latitude': 37.80753, 'longitude': -122.276535}"
96,74,False,,a10576fa-0a11-424e-a5d1-2b098697bbe3,"{'latitude': 37.80488666666667, 'longitude': -122.26434333333333}"
97,61,False,,20f29100-5f32-496e-83f4-7363cc277fa1,"{'latitude': 37.79947666666667, 'longitude': -122.27380333333333}"
98,51,False,,b7bdd1d6-d49c-43cd-9094-2bc96a7cce89,"{'latitude': 37.809655, 'longitude': -122.26937833333335}"
99,87,False,,d239ec89-69f5-43f7-a3ef-3de98cb95f85,"{'latitude': 37.803250000000006, 'longitude': -122.26437333333334}"
100,43,False,,1a1bd7a4-f374-4f28-b4f1-20c0a16b82bd,"{'latitude': 37.799385, 'longitude': -122.27384166666667}"
101,64,False,,12c46e29-d199-45f7-af4f-aec169dd6bb9,"{'latitude': 37.80007166666667, 'longitude': -122.26687666666666}"
102,64,False,,61f278a8-152d-4c0a-95d8-137fa5c40479,"{'latitude': 37.79938166666667, 'longitude': -122.27384166666667}"
103,100,False,,14c0df79-9dcc-4481-80b5-63de569f46fb,"{'latitude': 37.79910333333333, 'longitude': -122.27290333333333}"
104,59,False,,b0627fba-f435-44e0-a19e-8e19a6d3c4ec,"{'latitude': 37.79891666666666, 'longitude': -122.27030166666667}"
105,58,False,,19eb6d40-0a1d-4cd8-88f0-897ec50d1291,"{'latitude': 37.798905, 'longitude': -122.27026333333333}"
106,56,False,,0b1c0352-6a82-48a6-9e37-c47785cf454e,"{'latitude': 37.7989, 'longitude': -122.27027833333335}"
107,97,False,,bbd31a4f-6898-4414-a901-f5c4b1bc3700,"{'latitude': 37.799175, 'longitude': -122.26857833333334}"
108,91,False,,89197d6b-ace7-48a8-82cc-41f241fa2935,"{'latitude': 37.808155000000006, 'longitude': -122.26583166666666}"
109,92,False,,4b3b6314-a4d0-4a61-b89b-6115ffdebe3c,"{'latitude': 37.79915666666667, 'longitude': -122.26857}"
110,97,False,,8223bfad-01c3-4a43-acfa-5505b7a012ad,"{'latitude': 37.79909833333333, 'longitude': -122.26857}"
111,49,False,,f1c87c69-42b7-4901-b80f-5d1ecaae2abf,"{'latitude': 37.804085, 'longitude': -122.263825}"
112,82,False,,739f9b96-6afd-4afe-9571-8f6cd8f9d4cc,"{'latitude': 37.799186666666664, 'longitude': -122.27423166666668}"
113,65,False,,85ad4746-6403-4107-8447-23c19c4567fd,"{'latitude': 37.798633333333335, 'longitude': -122.27192666666666}"
114,28,False,,87bacc80-aae9-473f-a579-86f0eff2fc7b,"{'latitude': 37.80372666666666, 'longitude': -122.27855666666667}"
115,43,False,,5debb2ca-82f0-4edf-b8c1-310da8c0a2a5,"{'latitude': 37.808886666666666, 'longitude': -122.26615833333332}"
116,29,False,,ee2c93f6-13a6-409f-8a21-fe7a49527848,"{'latitude': 37.79841166666667, 'longitude': -122.27159833333332}"
117,61,False,,3aaa7b57-9828-496f-8523-dcb1f7b67863,"{'latitude': 37.810505, 'longitude': -122.27079833333333}"
118,100,False,,fe07bdf6-f145-4f63-9388-54721f309194,"{'latitude': 37.81026, 'longitude': -122.27346000000001}"
119,29,False,,f3de8978-5e85-4692-876d-4149f0b86c84,"{'latitude': 37.800308333333334, 'longitude': -122.265}"
120,17,False,,4d6942a1-f1ec-4d3d-a87f-86c3f5244d72,"{'latitude': 37.810489999999994, 'longitude': -122.27329999999999}"
121,40,False,,b343b269-4cfd-4eae-9860-b84c20afa7ea,"{'latitude': 37.79932833333333, 'longitude': -122.27593166666665}"
122,31,False,,cc56ddc5-f630-417a-b406-2275b359a783,"{'latitude': 37.810555, 'longitude': -122.27314833333334}"
123,59,False,,b5b033b5-b33a-4413-8720-8c065dba41fc,"{'latitude': 37.799319999999994, 'longitude': -122.275985}"
124,94,False,,81f77cb5-03ee-4779-91f3-0982651db9ac,"{'latitude': 37.80040333333333, 'longitude': -122.26480166666667}"
125,61,False,,980cf86c-68df-48d5-9a5c-0c0a98d4b88d,"{'latitude': 37.80323333333333, 'longitude': -122.27904500000001}"
126,69,False,,72f52f90-13f1-4a80-b648-6fd2ab64ae66,"{'latitude': 37.80091166666667, 'longitude': -122.26429000000002}"
127,61,False,,dbc5a8e6-2f46-4355-9c1a-4065ed5883e3,"{'latitude': 37.79927833333333, 'longitude': -122.27600166666667}"
128,98,False,,d4eb5d80-98d5-41d8-b9da-11b71fa7bdc9,"{'latitude': 37.80253666666667, 'longitude': -122.26324500000001}"
129,86,False,,96aa0fcd-981b-4683-9844-f711da1a3de5,"{'latitude': 37.80254333333333, 'longitude': -122.26320666666668}"
